,online_order,book_table,votes,location,rest_type,cuisines,cost,menu_item,rate
321,1,0,80,1,62,1670,250,4264,3.5
322,1,0,441,1,62,1592,400,2010,3.9
323,1,0,84,1,62,1589,250,744,3.6
324,0,0,42,1,62,1615,300,5047,4
325,1,0,213,1,62,1428,400,4368,3
326,0,0,725,30,62,1552,350,5047,4.2
327,1,0,750,4,20,1277,500,3317,3.9
328,0,0,166,4,20,1406,600,5047,3.8
329,0,0,4460,4,62,1547,150,5047,4.4
330,0,0,153,4,20,1547,350,5047,3.9
331,1,0,469,4,20,1208,750,1784,3.8
332,1,0,364,4,20,1566,550,4743,4.1
333,1,0,286,4,20,1156,600,3567,3.8
334,1,0,527,4,20,1156,500,417,3.8
335,1,0,101,4,62,1547,150,3893,3.9
336,1,0,558,4,62,1547,150,5047,4.1
337,0,0,148,4,22,1194,550,5047,3.8
338,0,0,377,4,57,1292,1100,5047,2.7
339,0,0,206,4,62,1585,450,5047,3.9
340,0,0,100,4,62,1589,300,5047,3.9
341,1,0,444,4,62,1547,100,3896,4.2
342,0,0,133,4,20,979,650,5047,3.9
343,1,0,219,4,13,455,600,4811,4
344,0,0,253,4,62,1547,250,5047,4.2
345,0,0,61,4,20,310,600,5047,3.7
346,1,0,155,54,20,1575,400,4183,3.8
347,1,0,233,30,20,1007,800,884,3.9
348,1,0,264,54,20,1212,750,3538,3.7
349,0,0,238,4,62,1547,600,5047,4.1
350,1,0,176,4,20,68,800,3310,4.1
351,1,0,93,4,62,1628,200,1735,3.7
352,0,0,124,4,62,1574,300,5047,3.8
353,1,0,275,4,62,1547,100,5047,4.3
354,0,0,254,4,62,1547,150,5047,4.2
355,0,0,177,4,62,1547,100,5047,4.1
356,1,0,132,4,62,817,200,5047,4
357,1,0,74,4,62,1589,300,4411,3.8
358,1,0,172,79,20,1196,700,5047,3.6
359,1,0,543,4,62,1571,300,5047,3.9
360,0,0,52,4,62,1547,300,5047,4
361,0,0,217,4,20,1281,450,5047,3.7
362,0,0,111,4,20,1258,700,5047,3.9
363,1,0,133,4,62,1636,200,4542,3.8
364,0,0,39,30,62,1587,250,5047,3.8
365,0,0,64,4,62,1547,200,5047,4
366,0,0,148,4,62,873,150,5047,3.8
367,0,0,55,75,44,595,300,5047,3.8
368,0,1,977,1,46,878,1300,5047,3.8
369,0,0,868,1,57,704,1200,5047,4.1
370,0,0,62,1,4,1589,800,5047,3.3
371,0,0,98,1,4,1196,800,5047,3
372,0,0,377,4,57,1292,1100,5047,2.7
373,1,1,2487,3,57,1343,900,5047,4.4
374,1,1,1964,3,20,87,1000,462,4.2
375,1,0,3178,3,20,1402,750,2897,4.3
376,1,0,455,3,20,50,550,2415,3.3
377,0,1,3845,28,20,1325,1600,5047,4.7
378,0,0,353,28,20,1416,1200,5047,4.3
379,0,1,1234,28,20,1423,800,5047,4.1
380,1,1,1538,28,20,165,1000,1380,4.1
381,1,1,756,28,20,1156,1000,5047,3.8
382,1,1,347,28,20,1295,1000,5047,4
383,0,1,165,28,20,1592,1000,5047,4
384,0,0,177,28,20,1222,950,5047,3.3
385,1,0,102,0,20,1589,600,2804,3
386,0,1,200,3,13,383,700,5047,4
387,1,0,102,3,13,352,450,4863,3.9
388,1,0,171,3,13,332,300,1176,3.7
389,1,0,37,3,13,359,400,2933,3.7
390,1,0,40,3,41,442,400,621,3.9
391,0,0,125,3,13,446,500,5047,3.9
392,1,0,49,3,13,332,600,1778,3.9
393,0,0,69,3,14,350,700,5047,3.8
394,0,0,78,3,13,332,350,5047,3.9
395,1,0,48,3,65,549,650,3406,2.7
396,1,0,46,28,13,502,600,4573,4.1
397,0,0,129,28,13,383,600,5047,4
398,1,1,727,28,13,416,800,397,3.9
399,0,0,521,28,13,404,550,5047,4.1
400,1,0,203,28,65,366,650,314,4.1
401,1,1,4381,28,22,1468,600,2241,4.4
402,1,0,131,28,13,504,400,2740,3.7
403,1,0,46,28,13,318,450,4884,3.7
404,0,0,48,28,13,436,550,5047,3.4
405,1,0,127,28,13,467,700,512,3.7
406,1,0,85,28,13,496,500,3094,2.7
407,1,0,1178,0,29,930,500,5047,4.5
408,1,0,335,0,20,65,800,5047,3.7
409,1,0,254,0,20,282,800,2463,3.8
410,1,0,63,28,72,869,300,2211,4.1
411,1,0,244,0,62,202,400,5047,4
412,1,0,255,0,62,1156,250,5047,2.9
413,1,0,549,0,30,773,400,5047,4.5
414,1,0,775,0,62,1597,300,5047,4.1
415,1,0,208,28,72,285,300,4865,3.6
416,1,0,739,28,29,565,500,4664,4.1
417,1,0,310,3,62,1156,400,1115,3.8
418,1,0,126,0,62,1156,150,1919,4
419,1,0,427,3,72,1392,500,1891,4.1
420,1,0,197,0,62,1156,300,5047,4
421,1,0,601,0,62,1477,700,4809,4.1
422,1,0,488,28,72,273,400,1143,3.9
423,1,0,396,3,62,1589,400,5047,4
424,1,0,474,0,62,1235,450,5047,3.6
